Label cache: training\data\wikidata_labels.sqlite (0 entries on open)
Preloaded 7,312 curated property labels from property_label_cache.json
=== Pass 1: scan corpus + cache rdfs:label rows ===
  scan page 1 (offset 0): 100,000 rows, total 100,000, seen-IRIs 14,474
  scan page 2 (offset 100,000): 100,000 rows, total 200,000, seen-IRIs 25,207
  scan page 3 (offset 200,000): 100,000 rows, total 300,000, seen-IRIs 33,407
  scan page 4 (offset 300,000): 100,000 rows, total 400,000, seen-IRIs 41,706
  scan page 5 (offset 400,000): 100,000 rows, total 500,000, seen-IRIs 50,456
  scan page 6 (offset 500,000): 100,000 rows, total 600,000, seen-IRIs 58,946
  scan page 7 (offset 600,000): 100,000 rows, total 700,000, seen-IRIs 65,693
  scan page 8 (offset 700,000): 100,000 rows, total 800,000, seen-IRIs 73,364
  scan page 9 (offset 800,000): 100,000 rows, total 900,000, seen-IRIs 80,128
  scan page 10 (offset 900,000): 100,000 rows, total 1,000,000, seen-IRIs 87,528
  scan page 11 (offset 1,000,000): 100,000 rows, total 1,100,000, seen-IRIs 95,125
  scan page 12 (offset 1,100,000): 100,000 rows, total 1,200,000, seen-IRIs 102,743
  scan page 13 (offset 1,200,000): 100,000 rows, total 1,300,000, seen-IRIs 108,814
  scan page 14 (offset 1,300,000): 100,000 rows, total 1,400,000, seen-IRIs 116,288
  scan page 15 (offset 1,400,000): 100,000 rows, total 1,500,000, seen-IRIs 123,218
  scan page 16 (offset 1,500,000): 100,000 rows, total 1,600,000, seen-IRIs 130,779
  scan page 17 (offset 1,600,000): 100,000 rows, total 1,700,000, seen-IRIs 138,160
  scan page 18 (offset 1,700,000): 100,000 rows, total 1,800,000, seen-IRIs 143,882
  scan page 19 (offset 1,800,000): 100,000 rows, total 1,900,000, seen-IRIs 150,019
  scan page 20 (offset 1,900,000): 100,000 rows, total 2,000,000, seen-IRIs 156,041
  scan page 21 (offset 2,000,000): 100,000 rows, total 2,100,000, seen-IRIs 162,135
  scan page 22 (offset 2,100,000): 100,000 rows, total 2,200,000, seen-IRIs 168,430
  scan page 23 (offset 2,200,000): 100,000 rows, total 2,300,000, seen-IRIs 173,022
  scan page 24 (offset 2,300,000): 100,000 rows, total 2,400,000, seen-IRIs 178,323
  scan page 25 (offset 2,400,000): 100,000 rows, total 2,500,000, seen-IRIs 184,310
  scan page 26 (offset 2,500,000): 100,000 rows, total 2,600,000, seen-IRIs 189,730
  scan page 27 (offset 2,600,000): 100,000 rows, total 2,700,000, seen-IRIs 196,058
  scan page 28 (offset 2,700,000): 100,000 rows, total 2,800,000, seen-IRIs 200,947
  scan page 29 (offset 2,800,000): 100,000 rows, total 2,900,000, seen-IRIs 205,788
  scan page 30 (offset 2,900,000): 100,000 rows, total 3,000,000, seen-IRIs 210,442
  scan page 31 (offset 3,000,000): 100,000 rows, total 3,100,000, seen-IRIs 214,805
  scan page 32 (offset 3,100,000): 100,000 rows, total 3,200,000, seen-IRIs 218,769
  scan page 33 (offset 3,200,000): 100,000 rows, total 3,300,000, seen-IRIs 225,208
  scan page 34 (offset 3,300,000): 100,000 rows, total 3,400,000, seen-IRIs 231,272
  scan page 35 (offset 3,400,000): 100,000 rows, total 3,500,000, seen-IRIs 237,315
  scan page 36 (offset 3,500,000): 100,000 rows, total 3,600,000, seen-IRIs 243,078
  scan page 37 (offset 3,600,000): 100,000 rows, total 3,700,000, seen-IRIs 249,315
  scan page 38 (offset 3,700,000): 100,000 rows, total 3,800,000, seen-IRIs 255,521
  scan page 39 (offset 3,800,000): 100,000 rows, total 3,900,000, seen-IRIs 261,366
  scan page 40 (offset 3,900,000): 100,000 rows, total 4,000,000, seen-IRIs 267,329
  scan page 41 (offset 4,000,000): 100,000 rows, total 4,100,000, seen-IRIs 272,316
  scan page 42 (offset 4,100,000): 100,000 rows, total 4,200,000, seen-IRIs 276,215
  scan page 43 (offset 4,200,000): 100,000 rows, total 4,300,000, seen-IRIs 280,642
  scan page 44 (offset 4,300,000): 100,000 rows, total 4,400,000, seen-IRIs 284,935
  scan page 45 (offset 4,400,000): 100,000 rows, total 4,500,000, seen-IRIs 290,082
  scan page 46 (offset 4,500,000): 100,000 rows, total 4,600,000, seen-IRIs 295,202
  scan page 47 (offset 4,600,000): 100,000 rows, total 4,700,000, seen-IRIs 301,380
  scan page 48 (offset 4,700,000): 100,000 rows, total 4,800,000, seen-IRIs 307,121
  scan page 49 (offset 4,800,000): 100,000 rows, total 4,900,000, seen-IRIs 313,147
  scan page 50 (offset 4,900,000): 100,000 rows, total 5,000,000, seen-IRIs 318,135
  scan page 51 (offset 5,000,000): 100,000 rows, total 5,100,000, seen-IRIs 322,089
  scan page 52 (offset 5,100,000): 100,000 rows, total 5,200,000, seen-IRIs 326,918
  scan page 53 (offset 5,200,000): 100,000 rows, total 5,300,000, seen-IRIs 332,229
  scan page 54 (offset 5,300,000): 100,000 rows, total 5,400,000, seen-IRIs 338,515
  scan page 55 (offset 5,400,000): 100,000 rows, total 5,500,000, seen-IRIs 344,811
  scan page 56 (offset 5,500,000): 100,000 rows, total 5,600,000, seen-IRIs 348,482
  scan page 57 (offset 5,600,000): 100,000 rows, total 5,700,000, seen-IRIs 351,839
  scan page 58 (offset 5,700,000): 100,000 rows, total 5,800,000, seen-IRIs 354,909
  scan page 59 (offset 5,800,000): 100,000 rows, total 5,900,000, seen-IRIs 359,151
  scan page 60 (offset 5,900,000): 100,000 rows, total 6,000,000, seen-IRIs 365,114
  scan page 61 (offset 6,000,000): 100,000 rows, total 6,100,000, seen-IRIs 371,218
  scan page 62 (offset 6,100,000): 100,000 rows, total 6,200,000, seen-IRIs 375,586
  scan page 63 (offset 6,200,000): 100,000 rows, total 6,300,000, seen-IRIs 378,149
  scan page 64 (offset 6,300,000): 100,000 rows, total 6,400,000, seen-IRIs 380,923
  scan page 65 (offset 6,400,000): 100,000 rows, total 6,500,000, seen-IRIs 383,774
  scan page 66 (offset 6,500,000): 100,000 rows, total 6,600,000, seen-IRIs 388,793
  scan page 67 (offset 6,600,000): 100,000 rows, total 6,700,000, seen-IRIs 393,458
  scan page 68 (offset 6,700,000): 100,000 rows, total 6,800,000, seen-IRIs 397,448
  scan page 69 (offset 6,800,000): 100,000 rows, total 6,900,000, seen-IRIs 402,074
  scan page 70 (offset 6,900,000): 100,000 rows, total 7,000,000, seen-IRIs 407,244
  scan page 71 (offset 7,000,000): 100,000 rows, total 7,100,000, seen-IRIs 413,073
  scan page 72 (offset 7,100,000): 100,000 rows, total 7,200,000, seen-IRIs 419,530
  scan page 73 (offset 7,200,000): 100,000 rows, total 7,300,000, seen-IRIs 425,574
  scan page 74 (offset 7,300,000): 100,000 rows, total 7,400,000, seen-IRIs 430,864
  scan page 75 (offset 7,400,000): 100,000 rows, total 7,500,000, seen-IRIs 436,511
  scan page 76 (offset 7,500,000): 100,000 rows, total 7,600,000, seen-IRIs 441,678
  scan page 77 (offset 7,600,000): 100,000 rows, total 7,700,000, seen-IRIs 446,101
  scan page 78 (offset 7,700,000): 100,000 rows, total 7,800,000, seen-IRIs 451,071
  scan page 79 (offset 7,800,000): 100,000 rows, total 7,900,000, seen-IRIs 456,326
  scan page 80 (offset 7,900,000): 100,000 rows, total 8,000,000, seen-IRIs 460,260
  scan page 81 (offset 8,000,000): 100,000 rows, total 8,100,000, seen-IRIs 464,834
  scan page 82 (offset 8,100,000): 100,000 rows, total 8,200,000, seen-IRIs 470,164
  scan page 83 (offset 8,200,000): 100,000 rows, total 8,300,000, seen-IRIs 475,716
  scan page 84 (offset 8,300,000): 100,000 rows, total 8,400,000, seen-IRIs 481,087
  scan page 85 (offset 8,400,000): 100,000 rows, total 8,500,000, seen-IRIs 486,361
  scan page 86 (offset 8,500,000): 100,000 rows, total 8,600,000, seen-IRIs 491,691
  scan page 87 (offset 8,600,000): 100,000 rows, total 8,700,000, seen-IRIs 496,476
  scan page 88 (offset 8,700,000): 100,000 rows, total 8,800,000, seen-IRIs 501,807
  scan page 89 (offset 8,800,000): 100,000 rows, total 8,900,000, seen-IRIs 507,166
  scan page 90 (offset 8,900,000): 100,000 rows, total 9,000,000, seen-IRIs 512,245
  scan page 91 (offset 9,000,000): 100,000 rows, total 9,100,000, seen-IRIs 517,296
  scan page 92 (offset 9,100,000): 100,000 rows, total 9,200,000, seen-IRIs 522,327
  scan page 93 (offset 9,200,000): 100,000 rows, total 9,300,000, seen-IRIs 527,493
  scan page 94 (offset 9,300,000): 100,000 rows, total 9,400,000, seen-IRIs 532,425
  scan page 95 (offset 9,400,000): 100,000 rows, total 9,500,000, seen-IRIs 537,585
  scan page 96 (offset 9,500,000): 100,000 rows, total 9,600,000, seen-IRIs 542,671
  scan page 97 (offset 9,600,000): 100,000 rows, total 9,700,000, seen-IRIs 547,446
  scan page 98 (offset 9,700,000): 100,000 rows, total 9,800,000, seen-IRIs 552,227
  scan page 99 (offset 9,800,000): 100,000 rows, total 9,900,000, seen-IRIs 557,209
  scan page 100 (offset 9,900,000): 100,000 rows, total 10,000,000, seen-IRIs 561,940
  scan page 101 (offset 10,000,000): 100,000 rows, total 10,100,000, seen-IRIs 567,497
  scan page 102 (offset 10,100,000): 100,000 rows, total 10,200,000, seen-IRIs 571,661
  scan page 103 (offset 10,200,000): 100,000 rows, total 10,300,000, seen-IRIs 576,498
  scan page 104 (offset 10,300,000): 100,000 rows, total 10,400,000, seen-IRIs 582,054
  scan page 105 (offset 10,400,000): 100,000 rows, total 10,500,000, seen-IRIs 587,419
